text,time,channel,label
"I've stuck with Jennifer Grace Barricklow for 5 years now, and her performance has been consistently impressive. To be honest, if it wasn't for the pandemic, I wouldn't have supplemented my stream of income, but I'm so glad I did.",2 months ago,CNBC,0
"Such an eye-opener! Curiously inputted Jennifer Grace Barricklow on the web, at once spotted her consulting page and was able to schedule a call session; she seems highly professional from her resum?.",2 months ago,CNBC,0
MOVE OFFSHORE.,2 months ago,CNBC,2
these are bots and scams do not use the financial advisors they recommend,1 month ago,CNBC,1
"It's basically man-made ""pandemic"" supply chain conditions.",2 months ago (edited),CNBC,2
"""All costs in commerce are passed down to the consumer""....thats capitalism 101, so congratulations America you just f¡¿cked yourselves....",2 months ago,CNBC,1
So these companies are taking advantage of cheap foreign slave labor¡¦.lets make goods within the US instead of,2 months ago,CNBC,0
Cuba and Peru joined BRICS,2 months ago,CNBC,1
"I say to myself: ""These big companies all bankrolled Trump. Surely they wouldn't back a candidate that would hurt them."" And boom I have my answer, ""hurts small to medium importers"" trying to squash rising competition?",2 months ago,CNBC,1
"It's going to hurt for a little bit. But American manufacturing will pick up again, and Americans will make products for Americans. Like it was in the 50's, 60's, 70's before we got betrayed by our elected officials. If you genuinely care about America's future, a better economy and long term prosperity, this is good. People are crying because they care about their cheap phones and tvs more than America's future. We've become instant and easy gratification addicts. There's abandoned industry everywhere, it's sad and people don't care or genuinely understand what happened.",2 months ago,CNBC,0
"Here's the thing, stop buying China products. If you have a pair of shoes that you love, it's cheaper to have those repaired than to buy another pair and  support China. You buying overseas is not supporting America Goods. Yes, we don't have everything, but you have to start somewhere and then grow. All government and corporations have been doing is shrinking our companies to nothing and relying on companies overseas for our Goods while corporations get greedy with their money and Americans become poor people... Something you should really think about.",2 months ago,CNBC,0
"Great, by the time local productions are ready and smooth running, it will be end of Trump's term and then tariff will come down again to compete local producers, and chaos start again. Carry on dreaming for govt fund to help with local production, the fund is reserved for the ultra rich.

Of course, every country will retaliate by increasing tariffs or avoid The US since it'll only bring unstability.",2 months ago (edited),CNBC,1
"Higher prices for consumers and a lot of jobs lost, high unemployment, Terrible economy, thats what trump is bringing, not to mention disasters and diseases. While he and his billionaire friends line their pockets.",2 months ago,CNBC,1
"I thought you would stop the war in Ukraine, Russia Trump.?



You said (in the first day of duty as the 47th president you would finally end the war in Ukraine,Russia.) Than it never happens. ???",2 months ago (edited),CNBC,1
Trump is going to destroy his rich donors' businesses with his dumb tariffs!,2 months ago,CNBC,1
Its not going to last even though they bought in bulk,2 months ago,CNBC,1
Train wreck is moving fast. - broadcast popped up about a boat seller - product (boat) held at boarder - if there¡¯s even one part in a bin that¡¯s from China additional paperwork is needed so it¡¯s being held up.,2 months ago,CNBC,1
"So because of the U.S. Govt imposed tariffs, the cost of consumer goods and food is going even higher than it already is, yet our paychecks stayed the same, affording even less than ever before. Whereas my current pay for driving a truck is only $24 an hour with no benefits or insurance, it is very unlikely my employer is going to raise my pay to $50 an hour to help offset higher cost and living expenses. So in a nutshell, the tariffs won't directly affect China, Mexico, or even Canada, but rather it is intended to hurt the average American citizen who are already living on shoestring budgets. That's the U.S. Govt's way of biting the hand that feeds them. Is the United States turning into another N.Korea where we peasants own nothing and roam the streets begging for breadcrumbs? That's where I see this going.",2 months ago,CNBC,1
I hate cheap Chinese crap. Breaks to fast  and quality is junk.,2 months ago,CNBC,0
Go ahead show us how to get around tarriffs (like traitors) And D.O.G.E will have a way around that too.!,2 months ago,CNBC,0
"We have to put china in check, they produce cheap disposable products. Gone are those items made in Japan, U.S., Germany, Taiwan and other countries that last longer -- contrary to chinese products before you know it are broken or some of it are defective at the onset. In effect, depleating natural resources and/or causing more trash/pollution.

Nobody's perfect US is no exception -- but the fact that I have seen a lot of immigrants from around the world in the US means that they are doing something right. 

And, these enormous cash flows to China are : (1)Causing massive job loss in the country where these chinese cheap products are sold) are being utilize to threaten its neighbors like Taiwan, Philippines, Japan, Vietnam, Indonesia, among others; and (2)Making other countries swim in debt and then for China to take over/operate/manage indebted countries' strategic assets (naturally because it cannot pay) like their ports, canal (in Panama), mining  debt ridden country's rich natural resources.

BUT Until I see people migrating in China, (same quantity as in the U.S) , wanting to leave, work and retire in China --- you have to keep China in check from flooding their cheap chinese products in your countries and tariff them!",2 months ago,CNBC,0
"Amazing video, A friend of mine referred me to a financial adviser sometime ago and we got talking about investment and money. I started investing with $120k and in the first 2 months , my portfolio was  reading $274,800. Crazy right!, I decided to reinvest my profit and gets more interesting. For over a year we have been working together making consistent profit just bought my second home 2 weeks ago and care for my family.",2 months ago,CNBC,0
ONE man made,1 month ago,CNBC,1
I am surprised that you just mentioned Meera Grayson here. I met this woman at a conference in 2018 and we have been working together ever since.,2 months ago,CNBC,2
It's incredible to know that Mrs. Meera Grayson's good works are recognized on platforms like this. A friend of my family recommended her to me when I was in Italy during the Corona crisis. She is incredible.,2 months ago,CNBC,0
SasaSchueller? Quitting may not be the best approach if you ask me. This is where an AI comes into the picture. I barely have time to trade myself as my job swallows up most of my time. MARGARET MOLLI ALVEY,2 months ago,CNBC,2
MARGARET MOLLI ALVEY,2 months ago,CNBC,1
Lookup with her name on the webpage.,2 months ago,CNBC,0
Greedy azz Amerikkka done out smarted its self DRWMF,2 months ago,CNBC,1
C how much of a stupid human being adverbs voted in hah hah SUCKERS,2 months ago,CNBC,1
"By just reading some of the comments in this thread, shows that the uneducated masses have no clue what capitalism actually is. These imbeciles don't understand that buy low, sell high is the very definition of capitalism.  And that is what they shout that makes this the best country in the world over other economys. Minds,  full of slogans and propaganda, not an original thought to be found. No wonder why there is another imbecile getting ready to destroy the economy for the working class, that voted for him as well as those who didn't.",2 months ago (edited),CNBC,1
"If corporate America does what they said they said were going to begin, save consumers money. The prices will stay the same. They moved production to overseas not to save us money but the fatten their pockets but when they left, they said it was to make the products cheaper instead of passing the savings on They pocketed all the money and now complaining because Trump is trying to reverse the disastrous economy. Bring jobs back to America!!!!",2 months ago,CNBC,0
Lol that means your cheap Temu $5 items will soon be a $30 item for low quality material,2 months ago,CNBC,1
"Stock pile it while it¡¯s cheap and sell for profit , then blame it on the tariffs",2 months ago,CNBC,1
looks like U S is sticking it 2 themselves,2 months ago,CNBC,1
Awesome.,2 months ago,CNBC,1
I won¡¯t allow it,2 months ago,CNBC,1
"As is the berkshire has a clue. Think for a moment  a million $ worth of goods, should last for 4 or 5 days.  You watch the berkshire will get their coin.
If you think any bigger company gives a rats ass, step back and have another bong hit !",2 months ago,CNBC,1
I thought retaliation is not allowed in business,2 months ago (edited),CNBC,1
"OMG! She spread false information,  I am wondering who paid her to hurt America?",2 months ago,CNBC,1
Stop playing in our face white boy said we make shoes but ship them from china,2 months ago,CNBC,1
But they will still sell all that stock at new tariffed price $$$$,2 months ago,CNBC,1
"As a response to all the Tarriffs and sanctions imposed on nations by America .
Every nation should should sanction and boycott America.
Don't buy anything from them and don't sell anything to them.",2 months ago,CNBC,1
"Everyone hates The Untited Snakes of America and nobody is afraid of them.
The Arabs will stop trading in dollars soon and as soon as they do the value of the dollar will drop.",2 months ago,CNBC,1
"Trump is a idiot  
His supporters overrate him, 
He is not a good politician.

He thinks these Sanctions and Tariffs only affect the rest of the world . Everyone is sick and tired of the Americans and their Petro dollars .
Even the Saudis want to Join BRICS  , they have even started to develop ties with Iran . 

The moto for 2025 is 
dump the dollar.",2 months ago,CNBC,1
"The Yankies thought Trump was really going to make America Great AGAIN ! 
When was America Great to begin with ?
I've heard of Great Britain. 
But I Never heard of a 
Great America.",2 months ago,CNBC,1
I can¡¯t believe anyone wanting to move to Canada under dictator Trudope,2 months ago,CNBC,2
"With respect to the automobile industry, just some food for thought. If tariffs are put in place, at some point, depending on how high the tariffs are, it will make more sense economically to make these cars in the US rather than Mexico as the tariffs will offset the lower cost of labor in Mexico. That, in turn, will lead to an increase in car manufacturing in the US and thus manufacturing jobs. Although broad tariffs are unwise, in my opinion, targeted tariffs could be beneficial to the US manufacturing industry. This is often overlooked by these scaremongering reports from the MSM.",2 months ago,CNBC,2
"You are mistaking low product quality with a product with low requirements that satisfies the consumer for the price.

And chinese factories do produce products over all ranges of 'quality', depending on how much you want to pay. The price for each quality requirements are very 'reasonable', that's why people buy it.",2 months ago (edited),CNBC,1
Calm down dude. We will figure that out ourselves¡¦ mind your sheep,2 months ago,CNBC,1
not all prices will go up!,2 months ago,CNBC,2
Now maybe America will start making things in the US like Electricsl Transformers and Antibiotics. Things we should be making here for Nation Security reasons anyway. And China is already doing this to us now.,2 months ago (edited),CNBC,0
Certainly Trump policies will have backfire impact to Amarican. Be careful that Trump is shooting to Amarican own foot.,2 months ago,CNBC,1
"6 days ago
I'm so old I remember when Republicans demanded free and open international markets.

  The problem is we were to get free and open markets in return, only we never got it. 

Canada has long had a 5% tariff on all USA imports, Mexico has long had a 16% tariff on all USA goods. China has long had a 13% or 9% tariff on all USA goods, and the EU has long had a 20% tariff on all USA imports.  China btw has recently increased tariffs to 28%, 23%,19% depending on item,",2 months ago,CNBC,2
its only 4 years of pain vote trump to be king for ever,2 months ago,CNBC,0
Trump want manufaturing to come back to US and create more jobs for Americans,2 months ago,CNBC,0
"Even though retailers have front-loaded inventory to avoid tariffs, they are still going to raise prices to increase profits and blame it on tariffs they didn't have to pay",2 months ago,CNBC,1
"Didn't Happen.

Everyone completely Complied. 
Close the Border stop the Fentanyl! 

Why is that so Hard? It shouldn't be.

Chinese Ingredients assembled in Canada,  by Canadians, so it's quite specific and personal. Ya know? So WTF",2 months ago,CNBC,1
We pay for Trump s tarrifs.,2 months ago,CNBC,1
Acting like prices havent been going up for the last 5 years already,2 months ago,CNBC,1
"Make no mistake, they will raise prices despite front loading.",2 months ago,CNBC,1
Easy fix just dont buy,2 months ago,CNBC,2
Just make shoes in U.S. old man!!,2 months ago,CNBC,1
"This is economic warfare to combat globalism. Its in every Americans best interest for sure, especially the next generation of adults. Wear hand me downs if you have to, quite being a consumer. You're more than that in reality.",2 months ago,CNBC,0
"The end result of import tariffs advance tax is paid for by the American population to the USA gov¡¯t.
By commodities price increaes as inflation¡¦¡¦.",2 months ago,CNBC,1
"Just imagine if for example china, mexico and canada will retaliate with 25% tarriff. Thats already 75% tariff against US products also these countries can simply trade more with china to avoid US tariff. Meanwhile the US has few options. US is not as powerful as it was in a lot of manufacturing",2 months ago,CNBC,1
"I am so sorry to the world for what trump is doing. he has to weaken us in America, so the russian's can rule the world. Think I'm lying? Just watch and see! Furthermore, you do not support the murderers of GOD's CHOSEN.... the JEW'S. So to ignorantly brag that you read hitler memoirs before sleep every night proves it all!!!",2 months ago,CNBC,1
"IMHO, Deer Stag shoes are low-quality ""disposable"" footwear. I purchased a pair last year, wouldn`t do it again.",2 months ago,CNBC,0
There is no tariffs the Mexican president and the weirdo from Canada straighten out fast,2 months ago,CNBC,2
"Too little too late - Chinese firms have set up an octopus global network of manufacturing plants in Southeast Asia, including Vietnam, Cambodia, Thailand, Africa, and South America. These companies are registered by local names but operated by Chinese owners.",2 months ago,CNBC,1
Indeed. We put ourselves into the greatest dependency on China and declare them as a ¡°adversary rival¡±? Seriously? We the people created this enemy with our own hands,2 months ago,CNBC,0
The imported fruit taste like WATER,2 months ago,CNBC,1
More American jobs and more quality stuff.,2 months ago,CNBC,0
"Consumers higher prices, debt goes higher, foreclosures start again, big banks get help little to middle income DISAPPEARS INTI TENT CITIES HESUS ¡¦ when is someone gong to wake the cheetos brain up¡¦ we¡¯re all going down.. this entire continent ¡¦",2 months ago,CNBC,1
Disgusting there¡¯s  going to be such a crash¡¦. Chinas gonna come out on top¡¦ USA is done ¡¦ this is so upsetting and yall voted him in ¡¦,2 months ago,CNBC,1
"look at it this way Australia spends 3 billion USD to make a smallish Destroyer 7200 tonnes , USA spends 2 bilion to make a big destroyer (burke) around 9400 tonnes   and China can build a Cruiser size ship really big destroyer 12,000 tonnes for 1 billion USD..... thanks to Unions , pork barelling- spending money wasting it just to buy votes in an area, and terrible management   China is 7 times cheaper to build ships of similiar capability apples to apples... there frigate cost if you look a 4000 tonne ship is like only 400 million USD, Australia will spend 5 billion plus per ship on there Hunter class frigate with just 32 VLS missle cells, Canada the same.... all this made in America or Australia is a waste of time. pick a high standard poor country like  Ukraine. East Europe,  and build your ship there equal to the cost of what CHINA can do it but without supporting CHINA simple , always do what your good at first",2 months ago,CNBC,1
you should stop making videos about things you know nothing about,2 months ago,CNBC,0
We should be manufactoring this crap here!!!! Getem Trump,2 months ago,CNBC,1
"10% for China isn¡¯t nearly enough, the gov. Is being way too easy on the communist republic.",2 months ago,CNBC,0
"The semiconductor industry incentive to build a semiconductor plant in the USA was done by Fmr Pres Joe Biden. It wasn't implemented due to tariffs, it was due to China's constant threat of invading Taiwan (produces 85% of the worlds chips.",2 months ago,CNBC,2
I don't know why people are so upset Trump said he was going to do all these things and he still got voted in these are the consequences.,2 months ago,CNBC,0
Sound like these companies don't want the add reasonable of factories and just want to sklm the easy money off  the top now there caught with there shoes off,2 months ago,CNBC,0
yes tariffs on imports assure us companies are competitive pricing for overpriced u s items,2 months ago,CNBC,0
"We (the country) needs to be self reliant and have things other countries WANT; otherwise, all the plans he's  making are for naught.",2 months ago,CNBC,0
So.... tariffs will rise.. america will have no jobs or will be great under trumps sales pitch and people who lives in south america with no jobs due to tariffs will be forced to enter america in record waves illegally on there way to America. Which will create even more pressure economically..,2 months ago (edited),CNBC,1
Win,2 months ago,CNBC,0
